Clock	Marker	Coefficient	
Horvath-multi-tissue	cg14501253	-0.066922165	
Horvath-multi-tissue	cg14658362	-0.168603536	
Horvath-multi-tissue	cg14723032	0.000900283	
Horvath-multi-tissue	cg14894144	0.053377439	
Horvath-multi-tissue	cg14992253	0.035824163	
Horvath-multi-tissue	cg15341340	-0.468757862	
Horvath-multi-tissue	cg15381769	-0.119627233	
Horvath-multi-tissue	cg15547534	0.382897521	
Horvath-multi-tissue	cg15661409	0.043744933	
Horvath-multi-tissue	cg15974053	-0.009486551	
Horvath-multi-tissue	cg15988232	0.036324808	
Horvath-multi-tissue	cg16150435	0.017495382	
Horvath-multi-tissue	cg16241714	2.551903028	
Horvath-multi-tissue	cg16494477	-0.066439934	
Horvath-multi-tissue	cg16547529	0.167493846	
Horvath-multi-tissue	cg16579101	-0.096067716	
Horvath-multi-tissue	cg17063929	-0.001985558	
Horvath-multi-tissue	cg17099569	0.115572976	
Horvath-multi-tissue	cg17285325	0.137315506	
Horvath-multi-tissue	cg17408647	-0.094843228	
Horvath-multi-tissue	cg17655614	0.156624167	
Horvath-multi-tissue	cg17729667	0.146830197	
Horvath-multi-tissue	cg17853587	-0.022992725	
Horvath-multi-tissue	cg17960516	0.066620539	
Horvath-multi-tissue	cg18055007	0.037915414	
Horvath-multi-tissue	cg18180783	0.121873904	
Horvath-multi-tissue	cg18440048	0.356369685	
Horvath-multi-tissue	cg18573383	0.554265536	
Horvath-multi-tissue	cg18983672	0.201888482	
Horvath-multi-tissue	cg18984151	0.315009523	
Horvath-multi-tissue	cg19008809	0.590929745	
Horvath-multi-tissue	cg19167673	-0.47038013	
Horvath-multi-tissue	cg19273182	-0.754588838	
Horvath-multi-tissue	cg19305227	0.019259662	
Horvath-multi-tissue	cg19346193	0.149635977	
Horvath-multi-tissue	cg19478743	0.122668557	
Horvath-multi-tissue	cg19514928	-0.005027927	
Horvath-multi-tissue	cg19692710	0.021362462	
Horvath-multi-tissue	cg19945840	0.62850032	
Horvath-multi-tissue	cg20295671	-0.028008213	
Horvath-multi-tissue	cg20305610	-0.164360384	
Horvath-multi-tissue	cg20524216	-0.389841338	
Horvath-multi-tissue	cg20692569	0.744776072	
Horvath-multi-tissue	cg20761322	0.116737935	
Horvath-multi-tissue	cg20795863	0.094275521	
Horvath-multi-tissue	cg20828084	0.14446198	
Horvath-multi-tissue	cg20914508	-0.003601976	
Horvath-multi-tissue	cg20947775	-0.216873362	
Horvath-multi-tissue	cg20999813	-0.387628988	
Horvath-multi-tissue	cg21096399	0.119679089	
Horvath-multi-tissue	cg21378206	0.195972049	
Horvath-multi-tissue	cg21460081	-0.150206847	
Horvath-multi-tissue	cg21801378	0.205911023	
Horvath-multi-tissue	cg21870884	0.135875207	
Horvath-multi-tissue	cg22006386	0.027954025	
Horvath-multi-tissue	cg22289837	-0.057604916	
Horvath-multi-tissue	cg22432269	-0.047520857	
Horvath-multi-tissue	cg22449114	0.009556913	
Horvath-multi-tissue	cg22679120	0.008321411	
Horvath-multi-tissue	cg22736354	1.718507337	
Horvath-multi-tissue	cg22809047	0.160173786	
Horvath-multi-tissue	cg22901840	0.078584998	
Horvath-multi-tissue	cg22920873	0.114374788	
Horvath-multi-tissue	cg23517605	0.128377865	
Horvath-multi-tissue	cg23662675	0.600765489	
Horvath-multi-tissue	cg23941599	0.266499641	
Horvath-multi-tissue	cg24116886	0.187704497	
Horvath-multi-tissue	cg24126851	0.000792206	
Horvath-multi-tissue	cg24254120	0.372917726	
Horvath-multi-tissue	cg24262469	0.152852459	
Horvath-multi-tissue	cg24450312	-0.001508834	
Horvath-multi-tissue	cg24580001	0.339639763	
Horvath-multi-tissue	cg24834740	-0.087006506	
Horvath-multi-tissue	cg25070637	-0.279922439	
Horvath-multi-tissue	cg25148589	0.179969129	
Horvath-multi-tissue	cg25505610	1.50223047	
Horvath-multi-tissue	cg25552492	-0.176029721	
Horvath-multi-tissue	cg25683012	-1.392021375	
Horvath-multi-tissue	cg25771195	0.304478062	
Horvath-multi-tissue	cg25781123	0.019974651	
Horvath-multi-tissue	cg26003813	-0.192765894	
Horvath-multi-tissue	cg26005082	0.283314043	
Horvath-multi-tissue	cg26045434	-0.296285378	
Horvath-multi-tissue	cg26297688	0.959651842	
Horvath-multi-tissue	cg26372517	0.126025756	
Horvath-multi-tissue	cg26453588	0.127052431	
Horvath-multi-tissue	cg26620959	-0.040743067	
Horvath-multi-tissue	cg26842024	0.358161798	
Horvath-multi-tissue	cg26845300	0.254089345	
Horvath-multi-tissue	cg27092035	-0.055768503	
Horvath-multi-tissue	cg27169020	0.087286864	
Horvath-multi-tissue	cg27319898	-0.211230721	
Horvath-multi-tissue	cg27377450	0.092440884	
Horvath-multi-tissue	cg27413543	-0.261275244	
Horvath-multi-tissue	cg27494383	0.064596615	
Horvath-multi-tissue	cg00091693	-0.002008493	
Horvath-multi-tissue	cg00168942	-0.111945219	
Horvath-multi-tissue	cg00431549	-0.136199957	
Horvath-multi-tissue	cg00436603	0.000265206	
Horvath-multi-tissue	cg01027805	-0.167672796	
Horvath-multi-tissue	cg01234063	-0.040535924	
Horvath-multi-tissue	cg01262913	-0.033581152	
Horvath-multi-tissue	cg01407797	-0.379166543	
Horvath-multi-tissue	cg01459453	-0.345952077	
Horvath-multi-tissue	cg01485645	-0.025753328	
Horvath-multi-tissue	cg01511567	-0.686111875	
Horvath-multi-tissue	cg01560871	-0.036910708	
Horvath-multi-tissue	cg01570885	-0.031258306	
Horvath-multi-tissue	cg01820374	-0.271122363	
Horvath-multi-tissue	cg02047577	-0.658400181	
Horvath-multi-tissue	cg02071305	-0.048429497	
Horvath-multi-tissue	cg02275294	-0.337498333	
Horvath-multi-tissue	cg02335441	-0.17128537	
Horvath-multi-tissue	cg03019000	-0.459777041	
Horvath-multi-tissue	cg03286783	-0.854784621	
Horvath-multi-tissue	cg03330058	-0.064471129	
Horvath-multi-tissue	cg03578041	-0.032630972	
Horvath-multi-tissue	cg03682823	-0.112677232	
Horvath-multi-tissue	cg03891319	-0.026893522	
Horvath-multi-tissue	cg03947362	-0.301555266	
Horvath-multi-tissue	cg04005032	-0.144763726	
Horvath-multi-tissue	cg04094160	-0.201195165	
Horvath-multi-tissue	cg04121983	0.054920672	
Horvath-multi-tissue	cg04268405	-0.416694314	
Horvath-multi-tissue	cg04431054	-0.05992505	
Horvath-multi-tissue	cg04452713	-0.001478366	
Horvath-multi-tissue	cg04474832	-0.444042106	
Horvath-multi-tissue	cg04999691	-0.001756899	
Horvath-multi-tissue	cg05442902	-0.578208568	
Horvath-multi-tissue	cg05590257	-0.031153885	
Horvath-multi-tissue	cg05847778	-0.058704445	
Horvath-multi-tissue	cg05903609	-0.158648055	
Horvath-multi-tissue	cg06044899	-0.142865007	
Horvath-multi-tissue	cg06117855	-0.007113851	
Horvath-multi-tissue	cg06513075	0.130551876	
Horvath-multi-tissue	cg06688848	-0.016307574	
Horvath-multi-tissue	cg06836772	-0.238015601	
Horvath-multi-tissue	cg06926735	0.001010208	
Horvath-multi-tissue	cg07158339	-0.626329239	
Horvath-multi-tissue	cg07388493	-0.520727113	
Horvath-multi-tissue	cg07408456	-0.218776385	
Horvath-multi-tissue	cg07498421	-0.059490426	
Horvath-multi-tissue	cg07663789	-0.074789714	
Horvath-multi-tissue	cg07730301	-0.01177889	
Horvath-multi-tissue	cg07770222	0.009940405	
Horvath-multi-tissue	cg07849904	-0.116542884	
Horvath-multi-tissue	cg08186124	-0.070505215	
Horvath-multi-tissue	cg08331960	-0.42705014	
Horvath-multi-tissue	cg09133026	-0.196543481	
Horvath-multi-tissue	cg09441152	-0.683075851	
Horvath-multi-tissue	cg09646392	-0.000417407	
Horvath-multi-tissue	cg09722397	-0.147296004	
Horvath-multi-tissue	cg09722555	-0.346465927	
Horvath-multi-tissue	cg09809672	-0.391318905	
Horvath-multi-tissue	cg10045881	-0.046803147	
Horvath-multi-tissue	cg10266490	-0.014675	
Horvath-multi-tissue	cg10345936	0.069971286	
Horvath-multi-tissue	cg10865119	-0.069157921	
Horvath-multi-tissue	cg10940099	0.093135749	
Horvath-multi-tissue	cg11025793	-0.012053497	
Horvath-multi-tissue	cg11299964	-0.157897406	
Horvath-multi-tissue	cg11314684	-0.076158602	
Horvath-multi-tissue	cg11388238	-0.35058529	
Horvath-multi-tissue	cg11653266	-0.176347192	
Horvath-multi-tissue	cg12413566	-0.045644385	
Horvath-multi-tissue	cg12616277	-0.002979815	
Horvath-multi-tissue	cg12941369	-0.131067992	
Horvath-multi-tissue	cg12985418	-0.431303727	
Horvath-multi-tissue	cg13129046	-0.205992326	
Horvath-multi-tissue	cg13269407	-0.091238949	
Horvath-multi-tissue	cg13302154	-0.003525343	
Horvath-multi-tissue	cg13547237	-0.201508653	
Horvath-multi-tissue	cg13828047	-0.448971744	
Horvath-multi-tissue	cg13931228	-0.12067687	
Horvath-multi-tissue	cg14060828	-0.303565965	
Horvath-multi-tissue	cg14163776	-0.119511769	
Horvath-multi-tissue	cg14175438	-0.336713957	
Horvath-multi-tissue	cg14408969	-0.140373287	
Horvath-multi-tissue	cg14409958	-0.050383781	
Horvath-multi-tissue	cg14423778	-0.087120888	
Horvath-multi-tissue	cg14597908	-0.030798249	
Horvath-multi-tissue	cg14654875	-0.122182935	
Horvath-multi-tissue	cg14727952	-0.136027886	
Horvath-multi-tissue	cg15185286	-0.241642003	
Horvath-multi-tissue	cg15262928	-0.078482669	
Horvath-multi-tissue	cg15703512	-0.730702811	
Horvath-multi-tissue	cg15804973	-0.108169109	
Horvath-multi-tissue	cg16034652	0.006495541	
Horvath-multi-tissue	cg16168311	-0.196860712	
Horvath-multi-tissue	cg16358826	-0.012966376	
Horvath-multi-tissue	cg16408394	-1.719195146	
Horvath-multi-tissue	cg16419345	0.282563693	
Horvath-multi-tissue	cg16744741	-0.3462842	
Horvath-multi-tissue	cg16899442	-0.153803786	
Horvath-multi-tissue	cg16984944	-5.94E-06	
Horvath-multi-tissue	cg17274064	-0.000157189	
Horvath-multi-tissue	cg17324128	-0.569717328	
Horvath-multi-tissue	cg17338403	-0.645058713	
Horvath-multi-tissue	cg17589341	-0.065957735	
Horvath-multi-tissue	cg17686885	-0.057992142	
Horvath-multi-tissue	cg18031008	0.264553633	
Horvath-multi-tissue	cg18139769	-0.089986969	
Horvath-multi-tissue	cg18328933	-0.37048069	
Horvath-multi-tissue	cg18956095	-0.478583455	
Horvath-multi-tissue	cg19044674	-0.055931441	
Horvath-multi-tissue	cg19046959	-0.069773889	
Horvath-multi-tissue	cg19420968	0.098912421	
Horvath-multi-tissue	cg19569684	-0.286095083	
Horvath-multi-tissue	cg19706682	-0.103539266	
Horvath-multi-tissue	cg19722847	-0.452037396	
Horvath-multi-tissue	cg19724470	-0.104549906	
Horvath-multi-tissue	cg19761273	-0.88692879	
Horvath-multi-tissue	cg19853760	-0.241884461	
Horvath-multi-tissue	cg20100381	-0.120248941	
Horvath-multi-tissue	cg20240860	-0.052478619	
Horvath-multi-tissue	cg21211748	-0.166397828	
Horvath-multi-tissue	cg21305265	-0.045368222	
Horvath-multi-tissue	cg21370143	-0.054401836	
Horvath-multi-tissue	cg21395782	-0.123872644	
Horvath-multi-tissue	cg21950518	-0.002510616	
Horvath-multi-tissue	cg22171829	-0.133887348	
Horvath-multi-tissue	cg22190114	0.122000415	
Horvath-multi-tissue	cg22197830	-0.214854921	
Horvath-multi-tissue	cg22568540	0.020951084	
Horvath-multi-tissue	cg22613010	-0.00136474	
Horvath-multi-tissue	cg22637507	-0.161364515	
Horvath-multi-tissue	cg22947000	-0.385598354	
Horvath-multi-tissue	cg23092072	0.999917662	
Horvath-multi-tissue	cg23124451	-0.118914538	
Horvath-multi-tissue	cg23180365	-0.17318824	
Horvath-multi-tissue	cg23786576	-0.359681997	
Horvath-multi-tissue	cg24058132	-0.243414212	
Horvath-multi-tissue	cg24081819	-0.00950238	
Horvath-multi-tissue	cg24471894	-0.057512039	
Horvath-multi-tissue	cg24888049	-0.129936396	
Horvath-multi-tissue	cg24899750	-0.307424926	
Horvath-multi-tissue	cg25101936	-0.057744615	
Horvath-multi-tissue	cg25159610	0.224446911	
Horvath-multi-tissue	cg25166896	-0.002315093	
Horvath-multi-tissue	cg25411725	-0.028135965	
Horvath-multi-tissue	cg25564800	-0.004461622	
Horvath-multi-tissue	cg25657834	-0.120291759	
Horvath-multi-tissue	cg25809905	-0.216624999	
Horvath-multi-tissue	cg25928579	-0.030298685	
Horvath-multi-tissue	cg26043391	-0.361822974	
Horvath-multi-tissue	cg26162695	-0.043863368	
Horvath-multi-tissue	cg26394940	-0.166268862	
Horvath-multi-tissue	cg26456957	-0.159361013	
Horvath-multi-tissue	cg26614073	-0.506521375	
Horvath-multi-tissue	cg26723847	-0.144822054	
Horvath-multi-tissue	cg26824091	0.549029142	
Horvath-multi-tissue	cg27015931	-0.466528425	
Horvath-multi-tissue	cg27016307	-0.035326263	
Horvath-multi-tissue	cg27202708	-0.138635766	
Horvath-multi-tissue	cg27544190	-0.869124446	
PedBE	cg00059225	0.02	
PedBE	cg00085493	-0.1	
PedBE	cg00095976	0.01	
PedBE	cg00609333*	0.02	
PedBE	cg01287592	-0.06	
PedBE	cg01704999	-0.1	
PedBE	cg02209075*	0.14	
PedBE	cg02310103	-0.08	
PedBE	cg02426178*	-0.36	
PedBE	cg02821342*	-0.13	
PedBE	cg02980055*	-0.14	
PedBE	cg03020208*	0.21	
PedBE	cg03466124	-0.02	
PedBE	cg03473016*	0	
PedBE	cg03493146*	-0.16	
PedBE	cg03555227*	0.64	
PedBE	cg04221461*	0.03	
PedBE	cg04452203	-0.03	
PedBE	cg04937184	-0.05	
PedBE	cg04948475	0	
PedBE	cg05024939*	0.15	
PedBE	cg05271255*	-0.12	
PedBE	cg05923197	0.04	
PedBE	cg05928290*	0.16	
PedBE	cg06048436*	-0.15	
PedBE	cg06144905*	0.32	
PedBE	cg06198384	0	
PedBE	cg06416491*	-0.19	
PedBE	cg06430061	-0.02	
PedBE	cg06455149*	0.09	
PedBE	cg06712013*	-0.05	
PedBE	cg07066898*	0.07	
PedBE	cg07638500*	-0.03	
PedBE	cg07809484*	0.07	
PedBE	cg08207604*	-0.11	
PedBE	cg08448547	0.06	
PedBE	cg09367901*	0.04	
PedBE	cg09678615*	-0.08	
PedBE	cg10308629*	-0.09	
PedBE	cg11071401*	0.23	
PedBE	cg11084334*	0.03	
PedBE	cg11092416*	-0.09	
PedBE	cg11117945*	-0.01	
PedBE	cg11298786	-0.1	
PedBE	cg11529819*	-0.09	
PedBE	cg11705975*	0.18	
PedBE	cg11804928*	-0.25	
PedBE	cg12483947*	-0.01	
PedBE	cg13462622	0.04	
PedBE	cg13739066	0.05	
PedBE	cg13783238	0	
PedBE	cg13848598*	0.05	
PedBE	cg14676592*	0.14	
PedBE	cg15774391	-0.14	
PedBE	cg16181396*	0.09	
PedBE	cg16243756	0.07	
PedBE	cg16314254	0.12	
PedBE	cg16374999*	0.02	
PedBE	cg16514113*	0.32	
PedBE	cg16618789*	0.15	
PedBE	cg16703882	0.1	
PedBE	cg16852756*	-0.05	
PedBE	cg16867657*	0.47	
PedBE	cg17882660	0.04	
PedBE	cg18244483*	0.22	
PedBE	cg18826352	0.09	
PedBE	cg19203457*	0.09	
PedBE	cg19381811*	-0.08	
PedBE	cg19662687*	-0.03	
PedBE	cg20283670*	-0.14	
PedBE	cg20397034*	-0.68	
PedBE	cg20704560*	-0.03	
PedBE	cg20755989*	0.19	
PedBE	cg20847090	0.01	
PedBE	cg20897936*	0.19	
PedBE	cg21515406*	0.01	
PedBE	cg21572722*	0.65	
PedBE	cg22281505	-0.04	
PedBE	cg23500537*	0.08	
PedBE	cg23586440	0.01	
PedBE	cg23731991*	-0.07	
PedBE	cg24374161*	-0.11	
PedBE	cg24441922*	-0.15	
PedBE	cg24739596	0	
PedBE	cg24881205	0.04	
PedBE	cg24996883*	-0.24	
PedBE	cg25062539*	-0.35	
PedBE	cg25936902*	-0.05	
PedBE	cg26535072*	-0.15	
PedBE	cg26650655	-0.06	
PedBE	cg26718511	0.18	
PedBE	cg27061971*	0.14	
PedBE	cg27396655	-0.33	
PedBE	cg27437510*	0.11	
PhenoAge-blood	cg15611364	63.12415047	
PhenoAge-blood	cg17605084	-44.00939313	
PhenoAge-blood	cg26382071	40.42085373	
PhenoAge-blood	cg12743894	36.7881845	
PhenoAge-blood	cg19287114	-36.49384395	
PhenoAge-blood	cg12985418	-35.90008808	
PhenoAge-blood	cg19398783	35.83308293	
PhenoAge-blood	cg15963417	-34.69842764	
PhenoAge-blood	cg27187881	-33.54555855	
PhenoAge-blood	cg09892203	-33.4823461	
PhenoAge-blood	cg00943950	33.47697933	
PhenoAge-blood	cg18996776	33.05057141	
PhenoAge-blood	cg16340918	32.14665692	
PhenoAge-blood	cg23832061	-31.90246973	
PhenoAge-blood	cg22736354	31.84219355	
PhenoAge-blood	cg04084157	31.62165709	
PhenoAge-blood	cg07265300	28.3980076	
PhenoAge-blood	cg02503970	25.58514041	
PhenoAge-blood	cg11426590	-24.78579343	
PhenoAge-blood	cg23710218	24.15870289	
PhenoAge-blood	cg02802055	-24.11715679	
PhenoAge-blood	cg13631913	23.83805501	
PhenoAge-blood	cg06493994	23.37207957	
PhenoAge-blood	cg24304712	23.3003573	
PhenoAge-blood	cg01131735	-22.91466682	
PhenoAge-blood	cg24208206	22.54068526	
PhenoAge-blood	cg01930621	-21.78792705	
PhenoAge-blood	cg19104072	-21.59866911	
PhenoAge-blood	cg07850604	21.31021579	
PhenoAge-blood	cg27493997	-21.2007229	
PhenoAge-blood	cg14281160	21.11147672	
PhenoAge-blood	cg12247247	-20.75342001	
PhenoAge-blood	cg08331960	-20.70742942	
PhenoAge-blood	cg17726022	20.18800473	
PhenoAge-blood	cg19722847	-20.14577056	
PhenoAge-blood	cg21801378	19.61967861	
PhenoAge-blood	cg03977782	19.45230678	
PhenoAge-blood	cg03929796	-19.41008226	
PhenoAge-blood	cg01254459	19.18438139	
PhenoAge-blood	cg09548179	-19.0323049	
PhenoAge-blood	cg09556292	-18.61940178	
PhenoAge-blood	cg17896249	18.0100431	
PhenoAge-blood	cg26091688	-17.94903039	
PhenoAge-blood	cg17009433	17.3157834	
PhenoAge-blood	cg06690548	-17.31209095	
PhenoAge-blood	cg26815229	-17.14738745	
PhenoAge-blood	cg15447479	17.06265852	
PhenoAge-blood	cg27015931	-16.80473407	
PhenoAge-blood	cg13550877	-16.79028681	
PhenoAge-blood	cg05492270	-16.73113119	
PhenoAge-blood	cg22594309	16.6352922	
PhenoAge-blood	cg08896629	-16.3038063	
PhenoAge-blood	cg11237115	-16.243299	
PhenoAge-blood	cg04736140	-16.11768623	
PhenoAge-blood	cg06533629	16.05623965	
PhenoAge-blood	cg25881193	-15.99899499	
PhenoAge-blood	cg03535648	-15.95141109	
PhenoAge-blood	cg27367952	-15.82375956	
PhenoAge-blood	cg11600161	-15.57182248	
PhenoAge-blood	cg19345165	-15.25553584	
PhenoAge-blood	cg15881088	-15.21848681	
PhenoAge-blood	cg21296230	15.06457901	
PhenoAge-blood	cg14175438	-14.9517935	
PhenoAge-blood	cg13409216	-14.48609953	
PhenoAge-blood	cg04424621	-14.44777739	
PhenoAge-blood	cg01137065	14.37377079	
PhenoAge-blood	cg13656360	14.36406636	
PhenoAge-blood	cg05316065	-14.22870517	
PhenoAge-blood	cg13509147	14.22126208	
PhenoAge-blood	cg13449372	-14.12054745	
PhenoAge-blood	cg10654016	13.83949625	
PhenoAge-blood	cg18693704	-13.80959079	
PhenoAge-blood	cg13218906	-13.68132768	
PhenoAge-blood	cg25428451	-13.6572112	
PhenoAge-blood	cg00462994	13.58737822	
PhenoAge-blood	cg03340261	13.57369508	
PhenoAge-blood	cg00261781	13.39937728	
PhenoAge-blood	cg13514050	-13.34104874	
PhenoAge-blood	cg20066677	13.32700255	
PhenoAge-blood	cg18267374	13.32614877	
PhenoAge-blood	cg24407308	-12.95513488	
PhenoAge-blood	cg10636246	-12.95489	
PhenoAge-blood	cg15569512	-12.95093372	
PhenoAge-blood	cg07817698	12.90897644	
PhenoAge-blood	cg16854606	12.74522356	
PhenoAge-blood	cg12265604	12.6784476	
PhenoAge-blood	cg14689355	-12.59980654	
PhenoAge-blood	cg01651821	12.43450304	
PhenoAge-blood	cg14159818	-12.18111487	
PhenoAge-blood	cg20162159	-12.17957599	
PhenoAge-blood	cg00230271	-12.15471329	
PhenoAge-blood	cg19008809	12.12001927	
PhenoAge-blood	cg09809672	-12.09921682	
PhenoAge-blood	cg13994175	12.07884157	
PhenoAge-blood	cg03172991	-11.96946328	
PhenoAge-blood	cg00194146	-11.88629118	
PhenoAge-blood	cg10225525	11.81083061	
PhenoAge-blood	cg08487374	11.67344393	
PhenoAge-blood	cg01450842	-11.65425604	
PhenoAge-blood	cg18117393	11.53232389	
PhenoAge-blood	cg08067365	-11.51984975	
PhenoAge-blood	cg17038116	-11.16561286	
PhenoAge-blood	cg26665419	-11.15430006	
PhenoAge-blood	cg20173259	11.11358119	
PhenoAge-blood	cg08899632	11.08380298	
PhenoAge-blood	cg04528819	11.07259285	
PhenoAge-blood	cg11177450	-10.94667271	
PhenoAge-blood	cg06908778	10.86511161	
PhenoAge-blood	cg25092328	10.80113727	
PhenoAge-blood	cg10922280	10.79008118	
PhenoAge-blood	cg04836038	10.65458827	
PhenoAge-blood	cg02229946	10.5122237	
PhenoAge-blood	cg12269343	10.4580988	
PhenoAge-blood	cg05294243	10.43369407	
PhenoAge-blood	cg01211097	-10.27522152	
PhenoAge-blood	cg08529529	-10.22704896	
PhenoAge-blood	cg10158181	-10.1880066	
PhenoAge-blood	cg26357744	-10.00204065	
PhenoAge-blood	cg27655905	9.950424372	
PhenoAge-blood	cg06189653	-9.928634297	
PhenoAge-blood	cg17641104	-9.926053105	
PhenoAge-blood	cg22495124	9.772363822	
PhenoAge-blood	cg17129388	9.679594816	
PhenoAge-blood	cg19556572	9.567877534	
PhenoAge-blood	cg25136687	-9.522144355	
PhenoAge-blood	cg15344028	-9.504209291	
PhenoAge-blood	cg05270634	9.458683059	
PhenoAge-blood	cg26866325	9.372871086	
PhenoAge-blood	cg25256723	-9.36844987	
PhenoAge-blood	cg03112869	9.309963576	
PhenoAge-blood	cg07929310	-9.267771972	
PhenoAge-blood	cg16085042	-9.058118831	
PhenoAge-blood	cg05759269	-9.047212407	
PhenoAge-blood	cg14754581	8.9044998	
PhenoAge-blood	cg01221637	-8.838557811	
PhenoAge-blood	cg12261786	-8.80006302	
PhenoAge-blood	cg17133388	-8.786659598	
PhenoAge-blood	cg13120519	-8.761639169	
PhenoAge-blood	cg01441777	-8.741688217	
PhenoAge-blood	cg11233384	-8.702162118	
PhenoAge-blood	cg22971191	8.613889336	
PhenoAge-blood	cg00845900	-8.58936172	
PhenoAge-blood	cg04007936	-8.441092863	
PhenoAge-blood	cg26212924	-8.269454924	
PhenoAge-blood	cg13042288	-8.160794723	
PhenoAge-blood	cg14473016	-8.146118724	
PhenoAge-blood	cg02976574	8.057451538	
PhenoAge-blood	cg05851163	-8.056495421	
PhenoAge-blood	cg17526300	8.038276564	
PhenoAge-blood	cg16173067	8.01275733	
PhenoAge-blood	cg15811427	-8.009320965	
PhenoAge-blood	cg14916213	7.981658933	
PhenoAge-blood	cg04014889	-7.924579894	
PhenoAge-blood	cg22947000	-7.872570922	
PhenoAge-blood	cg25769980	-7.808838536	
PhenoAge-blood	cg02228185	-7.785341156	
PhenoAge-blood	cg03565081	7.763007186	
PhenoAge-blood	cg15966757	-7.746394111	
PhenoAge-blood	cg09480837	-7.741831686	
PhenoAge-blood	cg13564075	-7.65214571	
PhenoAge-blood	cg03991512	-7.60434303	
PhenoAge-blood	cg20761322	7.473261917	
PhenoAge-blood	cg23376526	-7.470945638	
PhenoAge-blood	cg02631957	-7.435453213	
PhenoAge-blood	cg16933388	7.416346316	
PhenoAge-blood	cg21099326	-7.319261619	
PhenoAge-blood	cg26096837	7.269147318	
PhenoAge-blood	cg26394737	7.25927706	
PhenoAge-blood	cg01519742	7.247589771	
PhenoAge-blood	cg02016419	7.246984432	
PhenoAge-blood	cg07654934	-7.183441358	
PhenoAge-blood	cg24125648	7.120190402	
PhenoAge-blood	cg14747225	7.024834167	
PhenoAge-blood	cg18003795	-6.99391822	
PhenoAge-blood	cg05087948	-6.991225132	
PhenoAge-blood	cg02151301	-6.962548699	
PhenoAge-blood	cg05532892	6.729463914	
PhenoAge-blood	cg08035942	-6.589880588	
PhenoAge-blood	cg07484827	6.581498688	
PhenoAge-blood	cg17749443	6.468578944	
PhenoAge-blood	cg11631518	6.461478745	
PhenoAge-blood	cg22396353	6.4288385	
PhenoAge-blood	cg14223995	-6.409663736	
PhenoAge-blood	cg22582569	6.352315	
PhenoAge-blood	cg08169325	-6.322778588	
PhenoAge-blood	cg22512531	6.279600362	
PhenoAge-blood	cg21207418	6.268763011	
PhenoAge-blood	cg02154074	6.199036211	
PhenoAge-blood	cg17940013	-6.195165774	
PhenoAge-blood	cg16648841	6.097618377	
PhenoAge-blood	cg03724882	6.080591714	
PhenoAge-blood	cg16313343	6.023874287	
PhenoAge-blood	cg21137706	-5.983252062	
PhenoAge-blood	cg10523019	5.941622921	
PhenoAge-blood	cg25459323	-5.900533275	
PhenoAge-blood	cg20967028	5.85130181	
PhenoAge-blood	cg23124451	-5.804862482	
PhenoAge-blood	cg07494518	-5.794138096	
PhenoAge-blood	cg26104204	-5.768101285	
PhenoAge-blood	cg12238343	5.749756441	
PhenoAge-blood	cg06327515	5.716566436	
PhenoAge-blood	cg22991148	-5.681543236	
PhenoAge-blood	cg10052840	-5.67467637	
PhenoAge-blood	cg06134964	5.64268843	
PhenoAge-blood	cg01626227	-5.640661125	
PhenoAge-blood	cg02309431	-5.609942057	
PhenoAge-blood	cg22511262	5.567558371	
PhenoAge-blood	cg11903057	5.525340985	
PhenoAge-blood	cg04718414	-5.452605586	
PhenoAge-blood	cg26201213	5.446299477	
PhenoAge-blood	cg24674703	5.41797411	
PhenoAge-blood	cg25229964	5.410729068	
PhenoAge-blood	cg10878896	5.340752668	
PhenoAge-blood	cg04416752	-5.338257391	
PhenoAge-blood	cg21120249	-5.286945909	
PhenoAge-blood	cg19586576	5.285877086	
PhenoAge-blood	cg15551881	5.216122264	
PhenoAge-blood	cg11833861	-5.210109944	
PhenoAge-blood	cg13700897	-5.203206279	
PhenoAge-blood	cg05473871	-5.15604937	
PhenoAge-blood	cg11487705	-5.062657046	
PhenoAge-blood	cg16354207	-4.990591369	
PhenoAge-blood	cg24921089	-4.986411499	
PhenoAge-blood	cg04169469	4.926923884	
PhenoAge-blood	cg20090497	4.874022045	
PhenoAge-blood	cg20550118	-4.852301857	
PhenoAge-blood	cg04601137	-4.847499211	
PhenoAge-blood	cg17536848	-4.833656874	
PhenoAge-blood	cg22282672	4.813692319	
PhenoAge-blood	cg14423778	-4.795612884	
PhenoAge-blood	cg07236943	4.684481441	
PhenoAge-blood	cg03387497	4.630001389	
PhenoAge-blood	cg05125838	-4.602562372	
PhenoAge-blood	cg02735486	4.59476785	
PhenoAge-blood	cg26824091	4.586931755	
PhenoAge-blood	cg18691434	4.543967955	
PhenoAge-blood	cg05228408	-4.49429672	
PhenoAge-blood	cg19615059	4.492646466	
PhenoAge-blood	cg13296371	4.457073326	
PhenoAge-blood	cg16718891	-4.410288204	
PhenoAge-blood	cg27514224	-4.390952425	
PhenoAge-blood	cg00410898	-4.303054603	
PhenoAge-blood	cg16543027	-4.284958486	
PhenoAge-blood	cg14350002	-4.233812041	
PhenoAge-blood	cg22407458	4.232471361	
PhenoAge-blood	cg04480914	-4.215631426	
PhenoAge-blood	cg11459714	-4.21297823	
